Abc384_1	7048	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
203	37174	37397	35657	38313	10876	36862	36149	36532	35647	36296	35123	36146	35566	36630	33712	36479	35481	33821	32995	36260	35642	37169	36665
187	36351	37025	35720	36267	36167	35175	34247	34446	35322	35337	34771	36285	35339	35513	35292	35262	34395	35123	5498	35720	34253	29783	35910
627	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	20056	65000	65000	65000	65000
199	35033	37151	35201	36264	33998	28976	32485	36153	33621	35646	34378	36288	8754	35517	31730	34714	32316	34248	31804	3722	32507	37349	33959
202	37995	38889	37347	37380	37894	37570	36971	38528	36408	36975	36291	38585	36814	36803	35543	28636	34566	36838	36945	35899	35536	37947	36613
175	38626	38716	38305	38221	38115	38040	36520	37708	36740	36418	36103	37765	37495	37698	36399	36824	35427	37011	36890	35821	35604	37536	36102
185	38863	39897	37540	39566	37530	37176	37476	39122	36506	37536	36206	38221	36918	37858	33837	38292	36379	39060	32933	38353	36922	39044	37559
199	35033	37151	35201	36264	33998	28976	32485	36153	33621	35646	34378	36288	8754	35517	31730	34714	32316	34248	31804	3722	32507	37349	33959
201	37749	40135	37435	39307	36809	39375	37957	39520	37553	39154	37656	39474	37359	38015	37141	38441	37693	37853	37626	38286	36456	39633	37896
173	38624	38545	39855	38999	40362	39017	37078	291	39050	38455	38263	39491	39138	1977	37369	37962	36901	37076	37914	37734	37780	38859	36601
295	19010	36806	32610	37656	35051	38525	37171	36236	36806	8293	36384	39124	34575	35264	32442	28969	18509	19387	13690	19821	29687	35722	34343
193	34719	14815	34641	38049	35718	36966	32711	37897	33509	37068	34962	38081	35350	38157	34146	38400	34803	38087	34604	37785	34293	38987	34222
Abc384_4	7051	FluoOptima	FMCA 384 1000	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
627	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	20056	65000	65000	65000	65000
694	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	31395	65000	65000	65000	65000	65000	65000	13741	65000	65000	65000
759	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
589	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	815	65000	65000	65000	65000	65000	65000	65000	65000
691	65000	65000	65000	65000	37435	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
627	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	20056	65000	65000	65000	65000
629	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
567	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
682	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
602	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
636	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
644	65000	65000	65000	65000	65000	65000	65000	65000	45966	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
689	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
627	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	20056	65000	65000	65000	65000
719	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
658	65000	49929	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
